"","Class","PhenoGraph","Cluster","CN0_1-7","CN1_15-6","CN10_3","CN11_2-8","CN12_2-17","CN13_8","CN14_17","CN15_12","CN16_16-8","CN17_2-1","CN18_16","CN19_3","CN2_2","CN20_1","CN21_16","CN22_1","CN23_7","CN24_15","CN25_10","CN26_15-8","CN27_2","CN28_7","CN29_4","CN3_10","CN30_8-1","CN31_3","CN32_6","CN33_15-5","CN34_11","CN35_9","CN36_14","CN37_13","CN38_15-16","CN39_17","CN4_8","CN5_4-5","CN6_14","CN7_6","CN8_13","CN9_5","Class0"
"mADT-1.tsv","mADT-1.tsv",1,"TP_1",1.81972900438568,2.67722720429404,0.0916410289978399,0.01963736335668,1.3746154349676,1.09969234797408,0,0,0.418930418275839,0.713490868626039,0,0.2945604503502,0,2.33030045165936,0.0720036656411599,0.628395627413759,0.13746154349676,0.163644694639,0.37965569156248,7.06945080840479,0.02618315114224,1.31570334489756,1.57753485631996,2.42848726844276,0.23564836028016,2.82778032336192,1.0145971067618,0.37310990377692,0,0.10473260456896,0.877135563265039,11.9722458597892,2.0619231524514,0,0.13746154349676,16.7441251554625,17.0517771813838,0.569483537343719,21.3785429076389,0.01309157557112,"mADT-1.tsv"
"mADT-10.tsv","mADT-10.tsv",2,"TP_2",0,0.500901622921258,0.561009817671809,0,1.32238028451212,0,0,0,0,0.160288519334803,0,0.848193414813331,0,0,0.634475389033594,0,0,33.7140185667535,4.57490148934749,5.55666867027316,0.0801442596674013,0.527616376143725,5.60341948841248,4.07399986642623,0,7.03933747412008,0.0200360649168503,14.0386028184065,0,0,0,0,3.01208842583317,0.0534295064449342,0.00667868830561678,17.6584518800508,0,0.0133573766112336,0,0,"mADT-10.tsv"
"mADT-11.tsv","mADT-11.tsv",3,"TP_3",0,7.43666575864887,0.245164805230182,0,0,0.0953418687006265,0,0,0.0817216017433942,0,0,2.95559792971942,0,0.0544810678289294,0,0,0.136202669572324,5.0939798420049,2.05666031054209,23.971669844729,0,0.51757014437483,3.39144647235086,5.0939798420049,0,14.6009261781531,0.653772813947153,6.51048760555707,0,0,0,0,1.04876055570689,0,0.69463361481885,24.6254426586761,0,0.326886406973577,0,0.408608008716971,"mADT-11.tsv"
"mADT-12.tsv","mADT-12.tsv",3,"TP_3",0.237825594563986,12.2536806342016,0.14722536806342,0,0,1.63080407701019,0,0,0.0566251415628539,0,0,1.08720271800679,0,4.34881087202718,0,0,0.0906002265005662,2.46885617214043,2.59343148357871,21.4156285390713,0,4.91506228765572,2.02718006795017,6.91959229898075,1.03057757644394,6.19479048697622,2.60475651189128,4.66591166477916,0,0,0,0,0.917327293318233,0,0.385050962627407,20.237825594564,0.532276330690827,0.113250283125708,0,3.12570781426954,"mADT-12.tsv"
"mADT-13.tsv","mADT-13.tsv",3,"TP_3",7.28334621661084,0.240487846774886,4.38890320364167,0,0,1.64905952074208,0,0,3.47848492656532,0,0.00858885167053165,3.81345014171605,0,3.10057545306193,0.961951387099545,1.28832775057975,1.70059263076527,4.08829339517307,1.74353688911792,20.5273554925706,0,8.05634286695869,4.69810186378081,3.71038392166967,0.738641243665722,4.6122133470755,0.025766555011595,4.56068023705231,0,3.19505282143777,0,0,8.94099458902345,0,3.62449540496436,3.24658593146096,0,0,0,0.317787511809671,"mADT-13.tsv"
"mADT-14.tsv","mADT-14.tsv",4,"TP_4-13",1.77044261065266,0.660165041260315,0.150037509377344,2.39309827456864,16.9242310577644,1.89047261815454,0,0,3.27831957989497,1.44786196549137,0.0525131282820705,0.0750187546886722,7.3218304576144,3.10577644411103,3.00075018754689,0.067516879219805,0.345086271567892,1.99549887471868,0.982745686421605,4.9662415603901,20.6526631657914,2.93323330832708,0.00750187546886722,4.10352588147037,0.510127531882971,1.08777194298575,0.18754688672168,2.62565641410353,0,0.232558139534884,0.960240060015004,0,5.39384846211553,0,0.307576894223556,0.547636909227307,9.90247561890473,0.0975243810952738,0,0.0225056264066017,"mADT-14.tsv"
"mADT-15.tsv","mADT-15.tsv",5,"TP_5",20.0222531293463,0.267037552155772,0.250347705146036,0,0,0.995827538247566,0,0,2.31432545201669,0,0,0,0,5.0904033379694,1.35744089012517,58.7426981919332,0.789986091794159,0.0778859527121001,1.4019471488178,0.00556328233657858,0,5.04589707927677,0,1.04033379694019,0.283727399165508,0.272600834492351,0.228094575799722,0.00556328233657858,0,0,0,0,0.0333796940194715,0,1.61891515994437,0,0,0.1557719054242,0,0,"mADT-15.tsv"
"mADT-16.tsv","mADT-16.tsv",2,"TP_2",0.280643829962856,15.7738340899711,1.45274453157243,0,0,0.22286421791168,0,0,1.0482872472142,0,0.0330169211721007,0.767643417251341,0,1.79942220387949,1.26289723483285,0,0.0825423029302518,12.472141972761,2.00577796120512,2.13784564589352,0,6.25670656211308,10.6479570780025,6.75196037969459,0.132067684688403,4.76269087907553,5.69541890218737,4.59760627321502,0,0.156830375567478,0,0,4.97730086669418,0.0412711514651259,0.0247626908790755,14.9484110606686,0,1.66735451919109,0,0,"mADT-16.tsv"
"mADT-17.tsv","mADT-17.tsv",3,"TP_3",0.00578904712284358,8.475164987843,0.0752576125969665,0.214194743545212,1.85249507930995,0.138937130948246,0,0,0.521014241055922,0,0,0.0752576125969665,0,0.0115780942456872,1.7135579483617,0,0.0405233298599051,9.511404422832,1.20412180155146,17.396086604145,0.752576125969665,0.434178534213269,2.99872640963297,5.52275095519278,0,1.52251939330786,0.0868357068426537,12.7648489058701,0,0.93782563390066,1.12307514183165,0,14.0731735556327,0,0.370499015861989,8.19150167882366,9.8298020145884,0.00578904712284358,0,0.150515225193933,"mADT-17.tsv"
"mADT-19.tsv","mADT-19.tsv",5,"TP_5",19.4483240223464,0.855446927374302,0,0,0,0,0,0,0,0,2.09497206703911,0,0,1.7108938547486,6.54678770949721,20.8275139664804,4.22486033519553,5.44692737430168,0.750698324022346,0,0,8.36243016759776,16.9168994413408,0.837988826815642,0,0.104748603351955,0.366620111731844,0.401536312849162,0,0,0,0.680865921787709,0.506284916201117,1.34427374301676,0,3.5963687150838,0,4.97555865921788,0,0,"mADT-19.tsv"
"mADT-2.tsv","mADT-2.tsv",2,"TP_2",1.34476250393205,2.31204781377792,0.259515570934256,0,0,0.0157282164202579,0,0,0.290972003774772,0,0,0.314564328405159,0,2.5243787354514,0.644856873230576,0,0.235923246303869,20.8084303240013,0,7.77760301981755,0.00786410821012897,5.4026423403586,3.60176156023907,0.69204152249135,0.14941805599245,4.12865681031771,1.71437558980812,8.37527524378735,0,0.0393205410506449,1.14815979867883,12.8971374646115,2.34350424661843,0,0.14941805599245,10.3413022963196,2.30418370556779,1.90311418685121,8.27304183705568,0,"mADT-2.tsv"
"mADT-20.tsv","mADT-20.tsv",3,"TP_3",1.37428789569507,0.00587302519527809,0.745874199800317,0,0,0.910318905268104,0,0,5.32683385211723,0,0.0234921007811124,0.0822223527338932,0,0.875080754096435,4.24032419099078,0.146825629881952,3.41222763845657,0.892699829682269,0.939684031244494,4.65730897985552,0,9.81969812650496,0.264286133787514,11.3877958536442,0.15269865507723,1.098255711517,0.0822223527338932,3.4298467140424,0,21.2603512069067,0,0,14.5474834087038,0,0.334762436130851,7.1298525870676,6.47207376519645,0.387619662888354,0,0,"mADT-20.tsv"
"mADT-21.tsv","mADT-21.tsv",2,"TP_2",7.47371583057975,2.99789726644638,0.186242114749174,0,0.762991889456293,0.0300390507659958,0,0,0.132171823370381,0.0120156203063983,1.24962451186543,0.132171823370381,0,12.6043857014118,1.93451486933013,0.402523280264344,0.636827876239111,4.74016221087414,4.45178732352058,1.10543706818865,0,10.7659957945329,6.95704415740463,5.06458395914689,0.0420546710723941,0.829077801141484,0.108140582757585,8.35686392310003,0,1.83238209672574,1.29768699309102,0,2.92580354460799,0,0.0180234304595975,11.9555422048663,10.9822769600481,0,0,0.0120156203063983,"mADT-21.tsv"
"mADT-22.tsv","mADT-22.tsv",2,"TP_2",0,0.229474757776645,2.2628760836308,0,0,0,0,0,0.00637429882712902,0,0.0764915859255482,0.77766445690974,0,0.012748597654258,4.7233554309026,0,0.00637429882712902,2.19913309535951,2.67720550739419,1.02626211116777,0,0.509943906170321,7.12009178990311,3.43574706782254,0,1.49796022437532,0.382457929627741,14.3166751657318,0,1.89954105048445,7.21570627231005,0,9.75267720550739,0,0,27.4541050484447,11.8179500254972,0.38883222845487,0,0.210351861295258,"mADT-22.tsv"
"mADT-23.tsv","mADT-23.tsv",3,"TP_3",0.018496254508462,2.21955054101544,0.120225654305003,0,0.342180708406548,18.3297882178859,0,0,5.86331267918247,0.554887635253861,0,0.101729399796541,0,3.49579210209933,0.0554887635253861,0,0.0462406362711551,0.712105798575788,1.0727827614908,24.9514473319153,0,8.22158512901138,0.101729399796541,5.96504207897901,3.21834828447239,3.05188199389624,0.0832331452880792,2.09007675945621,0,0.138721908813465,0,0,4.1431610098955,0,7.1857948765375,7.88865254785906,0.018496254508462,0.00924812725423102,0,0,"mADT-23.tsv"
"mADT-24.tsv","mADT-24.tsv",6,"TP_6",0.0883225033120939,3.19853636994511,1.211280045423,0,0,1.13557504258406,0,0,4.59907892246546,0,0.782285029335689,0.529935019872563,0,0.239732508989969,4.05021765188316,0,0.0315437511828907,0.529935019872563,1.77906756671503,10.5923916472147,0,0.384833764431266,2.39101633966311,6.37814648918049,0,3.21746262065485,2.78215885433096,0.94631253548672,0,0.340672512775219,15.3239543246483,0,6.23935398397578,0,1.3563813008643,11.8541416945303,19.8725632452211,0.138792505204719,0,0.00630875023657813,"mADT-24.tsv"
"mADT-25.tsv","mADT-25.tsv",7,"TP_7",3.08421315155042,0.324216476847618,1.7208413001912,0,0,0,0,0,1.0391553745116,0,2.56879208579267,0.0914456729570205,0,0.789758084628814,19.3864826668884,1.88710616011306,0.823011056613185,6.58408845290548,0.864577271593649,3.79083880621831,0,8.06384570620999,1.91204588910134,2.26951533793333,0,1.76240751517167,0.0249397289882783,6.18505278909302,0,2.79324964668717,0,0,16.2856430293457,0,0.0249397289882783,17.7238340676698,0,0,0,0,"mADT-25.tsv"
"mADT-26.tsv","mADT-26.tsv",7,"TP_7",1.22664571328793,9.01868342936965,2.17391304347826,0,0,0.842500436528724,0,0,4.27798149118212,0,0.611140213026017,0.0261917234154007,0,2.35288982015017,18.3734939759036,0,2.12152959664746,0.314300680984809,0,5.82765845992666,0,12.5982189628078,0.445259298061812,3.13427623537629,0.244456085210407,1.71555788370875,4.70141435306443,1.86397764972935,0,2.26558407543216,0,0.0392875851231011,12.2009778243408,0.323031255456609,0.680984808800419,5.67050811943426,0,0.737733542867121,0,6.21180373668587,"mADT-26.tsv"
