Anderson	Class
1	ADT-1
2	ADT-2
0	ADT-3
1	ADT-4
2	ADT-5
1	ADT-6
1	ADT-7
2	ADT-8
1	ADT-9
1	ADT-10
1	ADT-11
1	ADT-12
1	ADT-13
2	ADT-14
2	ADT-15
1	ADT-16
1	ADT-17
1	ADT-18
1	ADT-19
2	ADT-20
2	ADT-21
1	ADT-22
1	ADT-23
1	ADT-24
2	ADT-25
1	ADT-26
2	ADT-27
2	ADT-28
2	ADT-29
2	ADT-30
1	ADT-31
1	ADT-32
1	ADT-33
1	ADT-34
2	ADT-35
2	ADT-36
1	ADT-37
2	ADT-38
1	ADT-39
1	ADT-40
1	ADT-41
2	ADT-42
2	ADT-43
1	ADT-44
1	ADT-45
2	ADT-46
1	ADT-47
1	ADT-48
2	ADT-49
2	ADT-50
1	ADT-51
2	ADT-52
