SampleID,GroupLabel,GroupName
N-7.tsv,1,N
N-15.tsv,1,N
N-16.tsv,1,N
N-24.tsv,1,N
N-46.tsv,1,N
N-6.tsv,1,N
N-23.tsv,1,N
N-41.tsv,1,N
N-34.tsv,1,N
N-1.tsv,1,N
N-9.tsv,1,N
N-22.tsv,1,N
N-33.tsv,1,N
N-26.tsv,1,N
N-35.tsv,1,N
mADT-34.tsv,0,mADT
mADT-43.tsv,0,mADT
mADT-7.tsv,0,mADT
N-49.tsv,1,N
mADT-33.tsv,0,mADT
mADT-8.tsv,0,mADT
N-12.tsv,1,N
N-25.tsv,1,N
mADT-15.tsv,0,mADT
N-53.tsv,1,N
N-5.tsv,1,N
N-54.tsv,1,N
N-39.tsv,1,N
N-44.tsv,1,N
N-43.tsv,1,N
N-51.tsv,1,N
N-3.tsv,1,N
N-37.tsv,1,N
N-4.tsv,1,N
N-31.tsv,1,N
N-27.tsv,1,N
N-52.tsv,1,N
mADT-19.tsv,0,mADT
mADT-29.tsv,0,mADT
N-38.tsv,1,N
N-21.tsv,1,N
N-28.tsv,1,N
N-32.tsv,1,N
N-17.tsv,1,N
N-11.tsv,1,N
mADT-49.tsv,0,mADT
mADT-48.tsv,0,mADT
N-56.tsv,1,N
N-42.tsv,1,N
N-45.tsv,1,N
mADT-40.tsv,0,mADT
N-13.tsv,1,N
N-10.tsv,1,N
N-20.tsv,1,N
N-8.tsv,1,N
mADT-14.tsv,0,mADT
mADT-42.tsv,0,mADT
mADT-4.tsv,0,mADT
mADT-2.tsv,0,mADT
mADT-3.tsv,0,mADT
mADT-1.tsv,0,mADT
mADT-35.tsv,0,mADT
mADT-44.tsv,0,mADT
mADT-9.tsv,0,mADT
mADT-39.tsv,0,mADT
mADT-10.tsv,0,mADT
mADT-28.tsv,0,mADT
mADT-45.tsv,0,mADT
mADT-16.tsv,0,mADT
mADT-11.tsv,0,mADT
mADT-12.tsv,0,mADT
mADT-31.tsv,0,mADT
mADT-38.tsv,0,mADT
mADT-21.tsv,0,mADT
mADT-46.tsv,0,mADT
mADT-22.tsv,0,mADT
mADT-17.tsv,0,mADT
mADT-6.tsv,0,mADT
mADT-32.tsv,0,mADT
mADT-37.tsv,0,mADT
mADT-51.tsv,0,mADT
mADT-47.tsv,0,mADT
mADT-25.tsv,0,mADT
mADT-26.tsv,0,mADT
mADT-23.tsv,0,mADT
mADT-13.tsv,0,mADT
mADT-36.tsv,0,mADT
mADT-50.tsv,0,mADT
mADT-24.tsv,0,mADT
mADT-52.tsv,0,mADT
mADT-41.tsv,0,mADT
mADT-5.tsv,0,mADT
mADT-20.tsv,0,mADT
mADT-27.tsv,0,mADT
N-55.tsv,1,N
N-2.tsv,1,N
N-29.tsv,1,N
N-47.tsv,1,N
N-18.tsv,1,N
N-36.tsv,1,N
N-14.tsv,1,N
N-19.tsv,1,N
N-48.tsv,1,N
N-30.tsv,1,N
N-40.tsv,1,N
N-50.tsv,1,N
